Name of Location,Address of Location,City,State,Zip,Website,Phone Number,Distance (miles),Rating
Dermatology Affiliates - Midtown,"691 14th St NW, Ste E, Atlanta, GA 30312",Atlanta,GA,30312,https://www.yelp.com/biz/dermatology-affiliates-midtown-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048167900,2.0,3.1
Cynthia Abbott MD,"Atlanta, GA 30318",Atlanta,GA,30318,https://www.yelp.com/biz/cynthia-abbott-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048167900,2.02,3.7
"Benedict, Linda M, MD","1800 Howell Mill Rd NW, Georgia Skin Specialists, Atlanta, GA 30318",Atlanta,GA,30318,https://www.yelp.com/biz/benedict-linda-m-md-atlanta-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043521730,2.09,0.0
Georgia Skin Specialists,"2021 Peachtree Rd, Ste 500, Atlanta, GA 30309",Atlanta,GA,30309,https://www.yelp.com/biz/georgia-skin-specialists-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043521730,2.12,3.7
Atlanta Dermatology & Aesthetics,"232 19th St, Ste 7230, Atlanta, GA 30363",Atlanta,GA,30363,https://www.yelp.com/biz/atlanta-dermatology-and-aesthetics-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048731795,2.91,3.3
Piedmont Physicians of Buckhead,"35 Collier Rd NW, Ste 775, Atlanta, GA 30309",Atlanta,GA,30309,https://www.yelp.com/biz/piedmont-physicians-of-buckhead-atlanta-10?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16782646739,3.16,2.8
Dermatology Associates of Georgia,"2061 Peachtree Rd, Ste 400, Atlanta, GA 30309",Atlanta,GA,30309,https://www.yelp.com/biz/dermatology-associates-of-georgia-atlanta-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14045540810,3.22,2.9
Midtown Medical Associates,"1110 W Peachtree St NW, Ste 1040, Atlanta, GA 30309",Atlanta,GA,30309,https://www.yelp.com/biz/midtown-medical-associates-atlanta-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048885050,3.32,3.5
Laureate Medical Group - Midtown,"1110 West Peachtree St, Ste 1100, Atlanta, GA 30309",Atlanta,GA,30309,https://www.yelp.com/biz/laureate-medical-group-midtown-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14048922131,3.32,2.3
"Rutledge Forney, MD","Atlanta, GA 30309",Atlanta,GA,30309,https://www.yelp.com/biz/rutledge-forney-md-atlanta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,3.55,0.0
